base_date,waste_item_group,waste_item,waste_item_detail,mnthly_amount,ly_mnthly_amount,yoy_growth
2024-02-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,3960,,
2024-02-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,17380,,
2024-02-01,음식물류,음식물,음식물,2520,,
2024-02-01,폐금속류,고철류,고철,995,,
2024-02-01,폐금속류,캔,알루미늄캔,815,,
2024-02-01,폐지류,파지,골판지,37910,,
2024-02-01,폐합성수지류,PE,LDPE (필름류),3120,,
2024-02-01,폐합성수지류,PS,PS,850,,
2024-02-01,폐합성수지류,쓰레기,일반쓰레기,62210,,
2024-03-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,5530,,
2024-03-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,142040,,
2024-03-01,음식물류,음식물,음식물,3020,,
2024-03-01,폐금속류,고철류,고철,1150,,
2024-03-01,폐금속류,캔,알루미늄캔,900,,
2024-03-01,폐지류,파지,골판지,58100,,
2024-03-01,폐합성수지류,PE,LDPE (필름류),3220,,
2024-03-01,폐합성수지류,PP,PP,320,,
2024-03-01,폐합성수지류,PS,PS,690,,
2024-03-01,폐합성수지류,쓰레기,일반쓰레기,78840,,
2024-04-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,3430,,
2024-04-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,208100,,
2024-04-01,음식물류,음식물,음식물,2970,,
2024-04-01,폐금속류,고철류,고철,2905,,
2024-04-01,폐금속류,캔,알루미늄캔,770,,
2024-04-01,폐지류,파지,골판지,57880,,
2024-04-01,폐합성수지류,PE,LDPE (필름류),2735,,
2024-04-01,폐합성수지류,PS,PS,1150,,
2024-04-01,폐합성수지류,쓰레기,일반쓰레기,97240,,
2024-05-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,12000,,
2024-05-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,245450,,
2024-05-01,음식물류,음식물,음식물,3250,,
2024-05-01,폐금속류,고철류,고철,1130,,
2024-05-01,폐금속류,캔,알루미늄캔,480,,
2024-05-01,폐지류,파지,골판지,67600,,
2024-05-01,폐합성수지류,PE,LDPE (필름류),4850,,
2024-05-01,폐합성수지류,PS,PS,530,,
2024-05-01,폐합성수지류,쓰레기,일반쓰레기,104370,,
2024-06-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,4860,,
2024-06-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,210320,,
2024-06-01,음식물류,음식물,음식물,2690,,
2024-06-01,폐금속류,고철류,고철,3180,,
2024-06-01,폐금속류,캔,알루미늄캔,1000,,
2024-06-01,폐지류,파지,골판지,66490,,
2024-06-01,폐합성수지류,PE,LDPE (필름류),2140,,
2024-06-01,폐합성수지류,PS,PS,910,,
2024-06-01,폐합성수지류,쓰레기,일반쓰레기,98410,,
2024-07-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,16750,,
2024-07-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,231070,,
2024-07-01,음식물류,음식물,음식물,3070,,
2024-07-01,폐금속류,고철류,고철,1280,,
2024-07-01,폐금속류,캔,알루미늄캔,270,,
2024-07-01,폐지류,파지,골판지,51025,,
2024-07-01,폐합성수지류,PE,LDPE (필름류),3195,,
2024-07-01,폐합성수지류,PS,PS,525,,
2024-07-01,폐합성수지류,쓰레기,일반쓰레기,131570,,
2024-08-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,3190,,
2024-08-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,252130,,
2024-08-01,음식물류,음식물,음식물,3060,,
2024-08-01,폐금속류,고철류,고철,1060,,
2024-08-01,폐금속류,캔,알루미늄캔,930,,
2024-08-01,폐지류,파지,골판지,54265,,
2024-08-01,폐합성수지류,PE,LDPE (필름류),435,,
2024-08-01,폐합성수지류,PS,PS,870,,
2024-08-01,폐합성수지류,쓰레기,일반쓰레기,121590,,
2024-09-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,9932,,
2024-09-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,147140,,
2024-09-01,음식물류,음식물,음식물,2880,,
2024-09-01,폐금속류,고철류,고철,805,,
2024-09-01,폐금속류,캔,알루미늄캔,980,,
2024-09-01,폐지류,파지,골판지,48946,,
2024-09-01,폐합성수지류,PE,LDPE (필름류),2210,,
2024-09-01,폐합성수지류,PS,PS,530,,
2024-09-01,폐합성수지류,쓰레기,일반쓰레기,100160,,
2024-10-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,6480,,
2024-10-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,209120,,
2024-10-01,음식물류,음식물,음식물,2780,,
2024-10-01,폐금속류,고철류,고철,2570,,
2024-10-01,폐금속류,캔,알루미늄캔,540,,
2024-10-01,폐지류,파지,골판지,57070,,
2024-10-01,폐합성수지류,PE,LDPE (필름류),4270,,
2024-10-01,폐합성수지류,PS,PS,2105,,
2024-10-01,폐합성수지류,쓰레기,일반쓰레기,80960,,
2024-11-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,13140,,
2024-11-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,172110,,
2024-11-01,음식물류,음식물,음식물,2840,,
2024-11-01,폐금속류,고철류,고철,2145,,
2024-11-01,폐지류,파지,골판지,50330,,
2024-11-01,폐합성수지류,PE,LDPE (필름류),1280,,
2024-11-01,폐합성수지류,PS,PS,1010,,
2024-11-01,폐합성수지류,쓰레기,일반쓰레기,73940,,
2024-12-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,11980,,
2024-12-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,172710,,
2024-12-01,음식물류,음식물,음식물,2390,,
2024-12-01,폐금속류,고철류,고철,1110,,
2024-12-01,폐금속류,캔,알루미늄캔,1260,,
2024-12-01,폐지류,파지,골판지,27850,,
2024-12-01,폐합성수지류,PE,LDPE (필름류),2110,,
2024-12-01,폐합성수지류,PS,PS,1020,,
2024-12-01,폐합성수지류,쓰레기,일반쓰레기,72460,,
2025-01-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,5950,,
2025-01-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,174840,,
2025-01-01,음식물류,음식물,음식물,2560,,
2025-01-01,폐지류,파지,골판지,32320,,
2025-01-01,폐합성수지류,PE,LDPE (필름류),2865,,
2025-01-01,폐합성수지류,PS,PS,1575,,
2025-01-01,폐합성수지류,쓰레기,일반쓰레기,74520,,
2025-02-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,4130,3960,0.04292929292929293
2025-02-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,210470,17380,11.109896432681243
2025-02-01,음식물류,음식물,음식물,2580,2520,0.023809523809523808
2025-02-01,폐금속류,고철류,고철,2200,995,1.2110552763819096
2025-02-01,폐금속류,캔,알루미늄캔,1550,815,0.901840490797546
2025-02-01,폐지류,파지,골판지,47605,37910,0.2557372724874703
2025-02-01,폐합성수지류,PE,LDPE (필름류),1075,3120,-0.655448717948718
2025-02-01,폐합성수지류,PS,PS,600,850,-0.29411764705882354
2025-02-01,폐합성수지류,쓰레기,일반쓰레기,76010,62210,0.22182928789583667
2025-03-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,4660,5530,-0.15732368896925858
2025-03-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,170140,142040,0.19783159673331455
2025-03-01,음식물류,음식물,음식물,2670,3020,-0.11589403973509933
2025-03-01,폐금속류,고철류,고철,3080,1150,1.6782608695652175
2025-03-01,폐지류,파지,골판지,62640,58100,0.07814113597246128
2025-03-01,폐합성수지류,PE,LDPE (필름류),2550,3220,-0.2080745341614907
2025-03-01,폐합성수지류,PS,PS,1550,690,1.2463768115942029
2025-03-01,폐합성수지류,쓰레기,일반쓰레기,86510,78840,0.09728564180618975
2025-04-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,4420,3430,0.2886297376093295
2025-04-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,190820,208100,-0.0830370014416146
2025-04-01,음식물류,음식물,음식물,2780,2970,-0.06397306397306397
2025-04-01,폐금속류,고철류,고철,1500,2905,-0.4836488812392427
2025-04-01,폐금속류,캔,알루미늄캔,1820,770,1.3636363636363635
2025-04-01,폐지류,파지,골판지,50877,57880,-0.12099170697995854
2025-04-01,폐합성수지류,PE,LDPE (필름류),4800,2735,0.7550274223034735
2025-04-01,폐합성수지류,PS,PS,590,1150,-0.48695652173913045
2025-04-01,폐합성수지류,쓰레기,일반쓰레기,93610,97240,-0.03733031674208145
2025-05-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,19600,12000,0.6333333333333333
2025-05-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,169360,245450,-0.31000203707476065
2025-05-01,음식물류,음식물,음식물,2580,3250,-0.20615384615384616
2025-05-01,폐금속류,고철류,고철,2435,1130,1.154867256637168
2025-05-01,폐금속류,캔,알루미늄캔,1015,480,1.1145833333333333
2025-05-01,폐지류,파지,골판지,67890,67600,0.004289940828402367
2025-05-01,폐합성수지류,PE,LDPE (필름류),1785,4850,-0.6319587628865979
2025-05-01,폐합성수지류,PS,PS,2380,530,3.490566037735849
2025-05-01,폐합성수지류,쓰레기,일반쓰레기,110970,104370,0.06323656223052601
2025-06-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,204230,210320,-0.02895587675922404
2025-06-01,음식물류,음식물,음식물,2920,2690,0.08550185873605948
2025-06-01,폐금속류,고철류,고철,1180,3180,-0.6289308176100629
2025-06-01,폐금속류,캔,알루미늄캔,600,1000,-0.4
2025-06-01,폐지류,파지,골판지,60710,66490,-0.0869303654684915
2025-06-01,폐합성수지류,PE,LDPE (필름류),1050,2140,-0.5093457943925234
2025-06-01,폐합성수지류,PS,PS,1110,910,0.21978021978021978
2025-06-01,폐합성수지류,쓰레기,일반쓰레기,97480,98410,-0.00945025912000813
2025-07-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,38410,16750,1.2931343283582089
2025-07-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,75330,231070,-0.6739948933223698
2025-07-01,음식물류,음식물,음식물,1280,3070,-0.5830618892508144
2025-07-01,폐금속류,고철류,고철,1800,1280,0.40625
2025-07-01,폐지류,파지,골판지,14090,51025,-0.7238608525232729
2025-07-01,폐합성수지류,PE,LDPE (필름류),2220,3195,-0.3051643192488263
2025-07-01,폐합성수지류,PS,PS,1070,525,1.0380952380952382
2025-07-01,폐합성수지류,쓰레기,일반쓰레기,36520,131570,-0.7224291251805123
